File	NRE ID	Transcription	Category	Notes	Timestamp	mp3 file																								
0001		Platform 	Platform ID		0:00:00	0001.mp3	Total clips	2440																						
0002		A trolley service	Passenger information		0:00:02	0002.mp3	Total transcribed	2440	Total categorised	2440	Total timestamped	14																		
0003	WBQ	Warrington Bank Quay	Destination		0:00:05	0003.mp3	Remaining clips	0	Remaining clips	0	Remaining clips	2426																		
0004		South West Trains service to	Train operating company	Bit of a detour	0:00:07	0004.mp3	Progress	100%	Progress	100%	Progress	1%																		
0005		South West Trains service to	Train operating company		0:00:10	0005.mp3			we did it :)																					
0006	BTH	Bath Spa	Destination		0:00:14	0006.mp3	Audio files on Google Drive																							
0007		Midland Main Line	Train operating company	Stopped existing in 2007!	0:00:16	0007.mp3	Audio files on GitHub																							
0008		Midland Main Line service to 	Train operating company		0:00:19	0008.mp3	Full audio file from ScotRail																							
0009		Midland Main Line service from	Train operating company		0:00:22	0009.mp3	NRE Darwin delay/cancellation codes																							
0010		[white noise]	Non-vocal	non-vocal	0:00:26	0010.mp3	YouTube																							
0011		The next train at platform	Platform information		0:00:32	0011.mp3	Ambient ScotRail Beats																							
0012		The next train at platform 1 is the	Platform information	"the" (/ðə/)		0012.mp3	see it, say it, sorted																							
0013		The next train at platform 2 is the	Platform information	"the" (/ðə/)		0013.mp3																								
0014		The next train at platform 3 is the	Platform information	"the" (/ðə/)		0014.mp3							🎆																	
0015		The next train at platform 4 is the	Platform information	"the" (/ðə/)		0015.mp3							🎉																	
0016		The next train at platform 5 is the	Platform information	"the" (/ðə/)		0016.mp3																								
0017		The next train at platform 6 is the	Platform information	"the" (/ðə/)		0017.mp3		🎆																						
0018		The next train at platform 7 is the	Platform information	"the" (/ðə/)		0018.mp3																								
0019		The next train at platform 8 is the	Platform information	"the" (/ðə/)		0019.mp3					🎆			🎆																
0020		The next train at platform 1 is the	Platform information	"the" (/ði/)		0020.mp3						🎆																		
0021		The next train at platform 2 is the	Platform information	"the" (/ði/)		0021.mp3			🎆																					
0022		The next train at platform 3 is the	Platform information	"the" (/ði/)		0022.mp3								🎆																
0023		The next train at platform 4 is the	Platform information	"the" (/ði/)		0023.mp3			🎉																					
0024		The next train at platform 5 is the	Platform information	"the" (/ði/)		0024.mp3				🎆																				
0025		The next train at platform 6 is the	Platform information	"the" (/ði/)		0025.mp3																								
0026		The next train at platform 7 is the	Platform information	"the" (/ði/)		0026.mp3					🎉																			
0027		The next train at platform 8 is the	Platform information	"the" (/ði/)		0027.mp3																								
0028		This train will call additionally at 	Passenger information			0028.mp3		🎉					🎉																	
0029		will be in	Conjoining			0029.mp3						🎉																		
0030		will be at	Conjoining			0030.mp3																								
0031		I am sorry to announce that the	Apology			0031.mp3			🎆			🎆																		
0032		ScotRail	Train operating company			0032.mp3																								
0033		ScotRail service to	Train operating company 			0033.mp3								🎆																
0034		ScotRail service from	Train operating company			0034.mp3																								
0035		platform 5 for the	Platform information	"the" (/ðə/)		0035.mp3																								
0036		platform 6 for the	Platform information	"the" (/ðə/)		0036.mp3		🎉		🎆																				
0037		Strathclyde metro service from 	Strathclyde metro			0037.mp3							🎉																	
0038		platform 1 for the	Platform information	"the" (/ði/)		0038.mp3						🎆																		
0039		platform 2 for the	Platform information	"the" (/ði/)		0039.mp3																								
0040		platform 3 for the	Platform information	"the" (/ði/)		0040.mp3																								
0041		platform 4 for the	Platform information	"the" (/ði/)		0041.mp3																								
0042		platform 5 for the	Platform information	"the" (/ði/)		0042.mp3																								
0043		platform 6 for the	Platform information	"the" (/ði/)		0043.mp3																								
0044		platform 7 for the	Platform information	"the" (/ðə/)		0044.mp3																								
0045		platform 8 for the	Platform information	"the" (/ðə/)		0045.mp3																								
0046		The public address at this station is currently under test	Operational			0046.mp3																								
0047		Please ignore the following announcements	Operational			0047.mp3																								
0048		Thank you	Conjoining			0048.mp3																								
0049		The display information system at this station	Operational			0049.mp3																								
0050		is currently under test	Operational			0050.mp3																								
0051		Please ignore any information currently displayed	Operational			0051.mp3																								
0052		The delayed	Conjoining			0052.mp3																								
0053		Midland Main Line	Passenger information	Low-pitch ending		0053.mp3																								
0054		will now depart from platform 1	Platform information			0054.mp3																								
0055		will now depart from platform 2	Platform information			0055.mp3																								
0056		will now depart from platform 3	Platform information			0056.mp3																								
0057		will now depart from platform 4	Platform information			0057.mp3																								
0058		will now depart from platform 5	Platform information			0058.mp3																								
0059		will now depart from platform 6	Platform information			0059.mp3																								
0060		will now depart from platform 7	Platform information			0060.mp3																								
0061		will now depart from platform 8	Platform information			0061.mp3																								
0062		will now depart from	Passenger information			0062.mp3																								
0063		This train is formed of 11 coaches	Passenger information			0063.mp3																								
0064		This train is formed of 12 coaches	Passenger information			0064.mp3																								
0065		This train is formed of 1 coach only	Passenger information			0065.mp3																								
0066		This train is formed of 1 coach	Passenger information			0066.mp3																								
0067		delayed	Conjoining			0067.mp3					 																			
0068		The train now approaching platform 1	Platform information			0068.mp3																								
